id,title,lead,source,link,image,authors,about
1,"Tajemnicze zaginięcie 15-letniej Weroniki. ""Miała wrócić o godz. 19:00""","W niedzielę Komenda Miejska Policji poinformowała o zaginięciu 15-letniej Weroniki Majewskiej. Nastolatka od kilku dni nie wraca do domu. ""Każda informacja może być ważna"" - podkreślają funkcjonariusze.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/15-letnia-weronika-majewska-zaginela-miala-wrocic-o-godz-19-00,https://s.eurozet.pl/cbz/2026/01/23/28600658/758106-1920x1080-9ee118cb0b.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Poszukiwanie, Zaginiecie, Zaginieni, article, dolnośląskie, policja"
2,"Anna zaginęła we Wrocławiu. Rozpaczliwy apel rodziny. ""Proszę""","We Wrocławiu zaginęła 48-letnia Anna. Kobieta po raz ostatni była widziana na osiedlu Jagodno. Przepadł po niej ślad, nie kontaktowała się również z rodziną. W poniedziałek przekazano, że 48-latka się odnalazła.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/wroclaw/anna-potocka-zaginela-we-wroclawiu-rozpaczliwy-apel-rodziny-prosze,https://s.eurozet.pl/cbz/2026/01/23/1997494c/779411-1920x1080-abd5e2f259.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Wrocław, Zaginiecie, Zaginieni, article, dolnośląskie"
3,Zaginęła 15-letnia Veronika. Policja publikuje zdjęcie i apeluje o pomoc,"Zaginęła 15-letnia Veronika Odnoralova. Nastolatka wyszła z domu pięć dni temu i do tej pory nie wróciła. Warszawscy policjanci prowadzą intensywne poszukiwania i apelują o pomoc do wszystkich osób, które widziały dziewczynę w ostatnich dniach lub posiadają jakiekolwiek informacje na temat jej miejsca pobytu.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/warszawa/zaginela-15-letnia-veronika-odnoralova-z-warszawy-policja-pokazala-zdjecie-nastolatki,https://s.eurozet.pl/cbz/2026/01/23/204776ce/764636-1920x1080-584e1945ed.jpg,https://wiadomosci.radiozet.pl/Redakcja/Igor-Maj#person,"Warszawa, Zaginiecie, Zaginieni, Zaginione dziecko, article, policja"
4,"Tajemnicze zaginięcie Moniki w Legnicy. Apel policji. ""Nie wierzę""","Komenda Miejska Policji w Legnicy prosi o wsparcie w poszukiwaniach zaginionej Moniki Roszko. ""Każda informacja może mieć znaczenie"" - przekazują funkcjonariusze. Pod wpisem pojawiły się informacje od internautów.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/monika-roszko-zaginela-w-legnicy-internauci-w-szoku-nie-wierze,https://s.eurozet.pl/cbz/2026/01/23/0c5095da/757626-1920x1080-bb4acd964b.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Poszukiwanie, Zaginiecie, Zaginieni, dolnośląskie, policja"
5,"Tajemnicze zaginięcie 22-letniej Klaudii. ""Zwracamy się z apelem do wszystkich""",Komenda Powiatowa Policji w Świdnicy poinformowała o poszukiwaniach 22-letniej Klaudii Dudzic. Kobieta przez ostatnie dwa lata mieszkała na terenie Wrocławia. Od kilku tygodni rodzina nie ma z nią kontaktu.,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/wroclaw/wroclaw-22-letnia-klaudia-dudzic-zaginela-zwracamy-sie-z-apelem,https://gfx.wiadomosci.radiozet.pl/var/g3-radiozetwiadomosci/storage/images/wroclaw/wroclaw-22-letnia-klaudia-dudzic-zaginela-zwracamy-sie-z-apelem/38190031-1-pol-PL/Tajemnicze-zaginiecie-22-letniej-Klaudii.-Zwracamy-sie-z-apelem-do-wszystkich_full-hd.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Wrocław, Zaginiecie, Zaginieni, article, dolnośląskie"
6,Zaginęła 15-letnia Maja. Pilny apel policji,Trwają poszukiwania 15-letniej Mai Boniek z Dolnego Śląska. Nastolatka po raz ostatni była widziana 5 października. Komenda Powiatowa Policji w Miliczu apeluje o pomoc.,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginela-15-letnia-maja-boniek-policja-wydala-pilny-komunikat,https://s.eurozet.pl/cbz/2026/01/24/37ab5f58/810216-1920x1080-9e21b38215.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Zaginiecie, Zaginieni, Zaginione dziecko, dolnośląskie, policja"
7,Trwają poszukiwania 15-letniej Martyny. Nastolatka była we Wrocławiu,"Zaginęła 15-letnia Martyna Zawada, Nastolatka pochodzi ze Środy Śląskiej. Od kilku lat przebywa w Placówce Opiekuńczo-Wychowawczej. Trwają poszukiwania nastolatki, z którą kontakt urwał się 28 października w godzinach porannych.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/wroclaw/15-letnia-martyna-zawada-zaginela-nastolatka-byla-we-wroclawiu,https://s.eurozet.pl/cbz/2026/01/24/6dcb2213/800206-1920x1080-77ba728188.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Wrocław, Zaginiecie, Zaginieni, Zaginione dziecko, dolnośląskie"
8,Monika zaginęła w Wielkiej Brytanii. Trwają poszukiwania młodej Polki,"Zaginęła 31-letnia Monika Kania. Kobieta pochodzi z gminy Busko-Zdrój (woj. świętokrzyskie), ale od kilku lat mieszka w Anglii. Ostatni raz kontaktowała się z rodziną w czasie wakacji. Policja prowadzi poszukiwania i apeluje o pomoc. Opublikowano rysopis zaginionej.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/monika-kania-zaginela-w-wielkiej-brytanii-trwaja-poszukiwania-mlodej-polki,https://s.eurozet.pl/cbz/2026/01/23/749dfe98/774291-1920x1080-45ce40faf1.jpg,https://wiadomosci.radiozet.pl/Redakcja/bartlomiej-binas#person,"Anglia, Busko Zdroj, Poszukiwana, Zaginiecie, Zaginieni, article, policja"
9,Karolina Wróbel zaginęła rok temu. Patryk B. powiedział tajemnicze zdanie ,"Mija rok od zaginięcia 24-letniej Karoliny Wróbel z Czechowic-Dziedzic, a sprawa wciąż pozostaje bez przełomu. Detektywi podkreślają, że kluczowy może być jeden, dotąd zbagatelizowany szczegół, natomiast Patryk B., któremu prokuratura postawiła zarzut zabójstwa, zapewnia, że jest niewinny i nie wierzy w jej śmierć. Bliscy kobiety wciąż czekają na prawdę, która zakończy czas bolesnej niepewności.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/karolina-wrobel-zaginela-rok-temu-patryk-b-powiedzial-tajemnicze-zdanie,https://s.eurozet.pl/cbz/2026/01/23/8b3185d9/773536-1920x1080-0a5b13a804.jpg,https://wiadomosci.radiozet.pl/Redakcja/blazej-makarewicz#person,"Prokuratura, Zabójstwo, Zaginiecie, Zaginieni, article, policja, Śląsk"
10,Dramatyczne poszukiwania dwójki 16-latków. Policja opublikowała zdjęcia i rysopisy,"Cały czas trwają poszukiwania dwójki nastolatków z Koluszek i Borowa, którzy zaginęli w czwartek 9 października. Policja wystosowała pilny apel do wszystkich, którzy mogą pomóc w ich odnalezieniu. ",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/dramatyczne-poszukiwania-dwojki-16-latkow-policja-opublikowala-zdjecia-i-rysopisy,https://s.eurozet.pl/cbz/2026/01/24/736f2875/808641-1920x1080-08a2cb3cd4.jpg,https://wiadomosci.radiozet.pl/Redakcja/jakub-kedzior#person,"Poszukiwanie, Zaginiecie, article, policja"
